,French,English
0,partie,part
1,chercher,search
2,pensais,thought
3,demande,request
4,genre,kind
5,mois,month
6,frère,brother
7,laisser,let
8,car,because
9,mettre,to put
10,aucun,no
11,ville,city
12,chaque,each
13,parlé,speak
14,arrivé,come
15,devrait,should
16,longtemps,long time
17,heures,hours
18,vont,will
19,pendant,while
20,revoir,meet again
21,aucune,any
22,place,square
23,parle,speak
24,savais,knew
25,étaient,were
26,attention,Warning
27,voici,here is
28,pourrais,could
29,affaire,case
30,donner,give
31,type,type
32,leurs,their
33,train,train
34,corps,body
35,endroit,place
36,yeux,eyes
37,façon,way
38,écoute,listen
39,dont,whose
40,trouve,find
41,premier,first
42,perdu,lost
43,première,first
44,pouvoir,power
45,vieux,old
46,sois,be
47,tiens,here
48,matin,morning
49,tellement,so much
50,enfant,child
51,point,point
52,venu,came
53,pardon,sorry
54,venez,come
55,devant,in front of
56,vers,towards
57,minutes,minutes
58,demandé,request
59,chambre,bedroom
60,mis,placed
61,belle,beautiful
62,droit,law
63,aimerais,would like to
64,aujourd'hui,today
65,mari,husband
66,cause,cause
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,parti,left
72,boulot,job
73,arrêter,Stop
74,dirait,would say
75,terre,Earth
76,donne,given
77,croire,believe
78,gros,large
79,plutôt,rather
80,aura,will have
81,filles,girls
82,jouer,to play
83,bureau,office
